PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Russell Westbrook,OKC,03/20/2019,OKC vs. TOR,L,44,42,16,29,55.2,5,10,50,5,8,62.5,2,9,11,6,1,0,9,3,-7
Pascal Siakam,TOR,03/20/2019,TOR @ OKC,W,43,33,14,21,66.7,1,4,25,4,4,100,2,11,13,6,2,1,5,5,9
James Harden,HOU,03/20/2019,HOU @ MEM,L,46,57,18,39,46.2,9,17,52.9,12,12,100,1,6,7,8,2,2,3,3,11
Stephen Curry,GSW,03/19/2019,GSW @ MIN,W,33,36,12,21,57.1,8,14,57.1,4,5,80,1,2,3,5,2,0,2,1,15
James Harden,HOU,03/19/2019,HOU @ ATL,W,33,31,8,18,44.4,4,11,36.4,11,12,91.7,0,8,8,10,1,1,4,1,10
D'Angelo Russell,BKN,03/19/2019,BKN @ SAC,W,38,44,17,33,51.5,6,15,40,4,6,66.7,1,3,4,12,4,0,5,3,13
Kentavious Caldwell-Pope,LAL,03/19/2019,LAL @ MIL,L,34,35,12,20,60,8,14,57.1,3,4,75,0,3,3,1,2,1,0,3,-2
Khris Middleton,MIL,03/19/2019,MIL vs. LAL,W,36,30,12,20,60,4,7,57.1,2,2,100,2,8,10,5,1,0,6,4,24
Damian Lillard,POR,03/18/2019,POR vs. IND,W,40,30,9,16,56.3,4,9,44.4,8,9,88.9,0,2,2,15,3,1,6,3,17
Julius Randle,NOP,03/18/2019,NOP @ DAL,W,34,30,14,24,58.3,2,4,50,0,1,0,3,6,9,4,1,1,1,3,5
Kyrie Irving,BOS,03/18/2019,BOS vs. DEN,L,36,30,10,23,43.5,2,8,25,8,8,100,1,4,5,4,4,1,1,1,-2
Paul George,OKC,03/18/2019,OKC vs. MIA,L,39,31,9,18,50,4,11,36.4,9,9,100,1,8,9,5,2,2,5,1,0
Joel Embiid,PHI,03/17/2019,PHI @ MIL,W,36,40,15,31,48.4,4,13,30.8,6,7,85.7,2,13,15,6,3,1,1,4,-6
Kawhi Leonard,TOR,03/17/2019,TOR @ DET,L,36,33,11,21,52.4,5,8,62.5,6,8,75,4,6,10,2,1,1,1,2,11
Giannis Antetokounmpo,MIL,03/17/2019,MIL vs. PHI,L,36,52,15,26,57.7,3,8,37.5,19,21,90.5,1,15,16,7,2,1,1,1,12
LeBron James,LAL,03/17/2019,LAL @ NYK,L,35,33,11,26,42.3,0,6,0,11,13,84.6,2,4,6,8,0,1,2,2,9
D'Angelo Russell,BKN,03/17/2019,BKN @ LAC,L,33,32,13,25,52,6,12,50,0,1,0,0,5,5,10,1,0,3,4,16
Devin Booker,PHX,03/16/2019,PHX @ NOP,W,41,40,12,26,46.2,3,8,37.5,13,18,72.2,1,4,5,13,0,1,7,3,3
Stephen Curry,GSW,03/16/2019,GSW @ OKC,W,33,33,10,23,43.5,5,12,41.7,8,10,80,1,6,7,3,2,0,4,1,19
Damian Lillard,POR,03/16/2019,POR @ SAS,L,38,34,13,29,44.8,3,10,30,5,5,100,0,6,6,5,1,0,1,3,3
Kelly Oubre Jr.,PHX,03/16/2019,PHX @ NOP,W,43,32,12,25,48,2,8,25,6,7,85.7,2,4,6,2,2,0,4,4,5
Bradley Beal,WAS,03/16/2019,WAS vs. MEM,W,39,40,12,17,70.6,9,12,75,7,9,77.8,1,4,5,7,2,0,1,2,14
Kyrie Irving,BOS,03/16/2019,BOS vs. ATL,W,36,30,12,24,50,4,10,40,2,3,66.7,2,9,11,9,1,2,3,2,13
Giannis Antetokounmpo,MIL,03/15/2019,MIL @ MIA,W,35,33,12,19,63.2,1,4,25,8,11,72.7,2,14,16,9,2,3,6,4,19
Julius Randle,NOP,03/15/2019,NOP vs. POR,L,42,45,20,34,58.8,2,7,28.6,3,11,27.3,5,6,11,6,2,3,7,3,-9
James Harden,HOU,03/15/2019,HOU vs. PHX,W,42,41,12,25,48,3,11,27.3,14,17,82.4,0,9,9,11,6,3,6,3,3
Bradley Beal,WAS,03/15/2019,WAS vs. CHA,L,45,40,15,29,51.7,7,13,53.8,3,3,100,2,3,5,5,1,1,5,3,1
Zach LaVine,CHI,03/15/2019,CHI @ LAC,L,38,31,9,19,47.4,3,7,42.9,10,13,76.9,1,6,7,7,0,0,4,2,-6
Paul George,OKC,03/14/2019,OKC @ IND,L,36,36,10,23,43.5,6,11,54.5,10,12,83.3,0,6,6,5,2,0,5,3,-5
Buddy Hield,SAC,03/14/2019,SAC @ BOS,L,35,34,14,24,58.3,6,10,60,0,0,-0,2,2,4,7,0,0,1,4,5
Kyrie Irving,BOS,03/14/2019,BOS vs. SAC,W,38,31,11,28,39.3,1,9,11.1,8,9,88.9,3,7,10,12,1,1,2,2,3
Paul Millsap,DEN,03/14/2019,DEN vs. DAL,W,36,33,14,19,73.7,1,3,33.3,4,4,100,1,7,8,3,1,0,0,4,3
Klay Thompson,GSW,03/13/2019,GSW @ HOU,W,36,30,12,23,52.2,5,10,50,1,1,100,1,5,6,2,0,0,0,3,-3
CJ Miles,MEM,03/13/2019,MEM @ ATL,L,33,33,11,16,68.8,8,12,66.7,3,4,75,0,3,3,0,0,0,2,0,6
Russell Westbrook,OKC,03/13/2019,OKC vs. BKN,W,36,31,12,23,52.2,4,8,50,3,5,60,3,9,12,11,3,0,5,3,18
LeBron James,LAL,03/12/2019,LAL @ CHI,W,33,36,15,23,65.2,2,4,50,4,5,80,1,9,10,4,2,0,5,2,9
Jamal Murray,DEN,03/12/2019,DEN vs. MIN,W,32,30,10,16,62.5,4,6,66.7,6,6,100,1,2,3,1,3,0,1,0,20
Karl-Anthony Towns,MIN,03/12/2019,MIN @ DEN,L,32,34,14,25,56,2,6,33.3,4,4,100,3,7,10,3,0,3,4,3,-15
CJ McCollum,POR,03/12/2019,POR @ LAC,W,35,35,12,21,57.1,6,11,54.5,5,6,83.3,2,2,4,4,2,0,0,4,20
Jalen Brunson,DAL,03/12/2019,DAL vs. SAS,L,37,34,12,16,75,3,6,50,7,7,100,0,5,5,4,1,0,1,1,5
DeMar DeRozan,SAS,03/12/2019,SAS @ DAL,W,38,33,11,19,57.9,0,0,-0,11,11,100,0,4,4,6,4,0,3,4,9
Kemba Walker,CHA,03/11/2019,CHA @ HOU,L,40,40,14,20,70,6,6,100,6,7,85.7,1,9,10,7,0,1,4,1,-5
Lou Williams,LAC,03/11/2019,LAC vs. BOS,W,23,34,14,20,70,2,6,33.3,4,4,100,1,3,4,5,0,0,3,2,28
Devin Booker,PHX,03/10/2019,PHX @ GSW,W,41,37,13,23,56.5,2,6,33.3,9,9,100,1,7,8,11,2,0,5,3,12
Joel Embiid,PHI,03/10/2019,PHI vs. IND,W,28,33,11,21,52.4,0,2,0,11,15,73.3,3,9,12,0,2,0,2,5,16
Bradley Beal,WAS,03/09/2019,WAS @ MIN,L,45,36,13,25,52,2,10,20,8,11,72.7,1,9,10,9,1,1,3,3,3
Kyrie Irving,BOS,03/09/2019,BOS @ LAL,W,35,30,12,18,66.7,5,8,62.5,1,1,100,1,6,7,5,2,2,1,2,14
LeBron James,LAL,03/09/2019,LAL vs. BOS,L,28,30,13,23,56.5,1,5,20,3,7,42.9,2,8,10,12,0,0,3,0,11
Karl-Anthony Towns,MIN,03/09/2019,MIN vs. WAS,W,37,40,15,24,62.5,4,7,57.1,6,6,100,4,11,15,2,2,1,1,2,1
De'Aaron Fox,SAC,03/09/2019,SAC @ NYK,W,37,30,11,17,64.7,2,4,50,6,8,75,0,5,5,8,1,0,3,3,19
John Collins,ATL,03/09/2019,ATL vs. BKN,L,30,33,13,20,65,0,1,0,7,9,77.8,6,13,19,2,1,1,2,5,3
Marvin Williams,CHA,03/08/2019,CHA vs. WAS,W,32,30,10,16,62.5,7,10,70,3,3,100,5,2,7,1,1,2,3,1,2
Danilo Gallinari,LAC,03/08/2019,LAC vs. OKC,W,34,34,10,19,52.6,2,5,40,12,15,80,2,4,6,2,0,0,0,1,13
Kawhi Leonard,TOR,03/08/2019,TOR @ NOP,W,27,31,14,20,70,1,5,20,2,3,66.7,0,1,1,2,2,0,2,1,15
Klay Thompson,GSW,03/08/2019,GSW vs. DEN,W,35,39,13,22,59.1,9,11,81.8,4,5,80,1,2,3,4,2,1,1,3,30
Russell Westbrook,OKC,03/08/2019,OKC @ LAC,L,32,32,12,23,52.2,2,9,22.2,6,8,75,0,8,8,7,0,1,1,6,-4
James Harden,HOU,03/08/2019,HOU vs. PHI,W,32,31,11,22,50,3,11,27.3,6,7,85.7,0,10,10,7,2,0,5,3,15
Lou Williams,LAC,03/08/2019,LAC vs. OKC,W,34,40,13,24,54.2,4,6,66.7,10,15,66.7,1,6,7,5,4,0,2,1,3
Donovan Mitchell,UTA,03/08/2019,UTA @ MEM,L,39,38,12,24,50,5,9,55.6,9,12,75,2,2,4,5,0,1,3,3,4
Russell Westbrook,OKC,03/07/2019,OKC @ POR,W,40,37,14,28,50,5,8,62.5,4,6,66.7,1,6,7,3,0,0,8,5,1
Damian Lillard,POR,03/07/2019,POR vs. OKC,L,47,51,15,28,53.6,3,10,30,18,20,90,1,4,5,9,1,2,3,3,-5
Paul George,OKC,03/07/2019,OKC @ POR,W,43,32,7,23,30.4,1,9,11.1,17,20,85,2,12,14,6,3,0,3,2,19
Andre Drummond,DET,03/06/2019,DET vs. MIN,W,39,31,11,18,61.1,1,1,100,8,10,80,8,7,15,3,1,2,2,5,12
Devin Booker,PHX,03/06/2019,PHX vs. NYK,W,34,41,14,23,60.9,6,10,60,7,7,100,1,4,5,4,2,1,5,4,17
LeBron James,LAL,03/06/2019,LAL vs. DEN,L,31,31,13,22,59.1,2,7,28.6,3,8,37.5,0,7,7,7,1,1,4,4,-8
Bradley Beal,WAS,03/06/2019,WAS vs. DAL,W,37,30,11,19,57.9,2,5,40,6,8,75,0,7,7,8,0,0,2,5,7
LaMarcus Aldridge,SAS,03/06/2019,SAS @ ATL,W,38,32,11,16,68.8,1,1,100,9,11,81.8,2,7,9,0,1,2,4,2,9
Luka Doncic,DAL,03/06/2019,DAL @ WAS,L,36,31,11,26,42.3,2,8,25,7,9,77.8,3,8,11,7,4,0,2,3,-10
Zach LaVine,CHI,03/06/2019,CHI vs. PHI,W,36,39,14,26,53.8,2,5,40,9,13,69.2,3,2,5,4,1,0,2,1,6
Gordon Hayward,BOS,03/05/2019,BOS @ GSW,W,28,30,12,16,75,4,6,66.7,2,2,100,1,6,7,4,2,0,0,1,32
Karl-Anthony Towns,MIN,03/05/2019,MIN vs. OKC,W,30,41,15,27,55.6,3,5,60,8,10,80,6,8,14,1,2,0,0,4,9
Mike Conley,MEM,03/05/2019,MEM vs. POR,W,35,40,12,18,66.7,6,7,85.7,10,15,66.7,1,3,4,4,1,0,1,4,15
Russell Westbrook,OKC,03/05/2019,OKC @ MIN,L,38,38,15,28,53.6,5,10,50,3,7,42.9,2,11,13,6,0,0,2,3,-2
James Harden,HOU,03/05/2019,HOU @ TOR,W,37,35,12,30,40,3,9,33.3,8,8,100,0,1,1,3,3,0,1,4,-10
Julius Randle,NOP,03/04/2019,NOP @ UTA,W,39,30,10,23,43.5,0,2,0,10,12,83.3,1,7,8,5,2,1,0,4,17
Jrue Holiday,NOP,03/04/2019,NOP @ UTA,W,32,30,12,23,52.2,4,7,57.1,2,2,100,0,2,2,4,1,0,1,0,-4
James Harden,HOU,03/03/2019,HOU @ BOS,W,39,42,14,31,45.2,6,18,33.3,8,9,88.9,0,7,7,4,2,1,4,6,13
Eric Gordon,HOU,03/03/2019,HOU @ BOS,W,35,32,11,18,61.1,8,12,66.7,2,6,33.3,0,3,3,3,1,0,0,2,14
Kyle Lowry,TOR,03/03/2019,TOR @ DET,L,42,35,11,24,45.8,6,14,42.9,7,9,77.8,1,6,7,5,1,0,3,3,2
Kevin Durant,GSW,03/02/2019,GSW @ PHI,W,37,34,11,24,45.8,2,7,28.6,10,14,71.4,0,5,5,5,0,0,4,0,11
Giannis Antetokounmpo,MIL,03/02/2019,MIL @ UTA,L,32,43,15,26,57.7,2,3,66.7,11,19,57.9,3,11,14,8,2,1,4,3,19
Donovan Mitchell,UTA,03/02/2019,UTA vs. MIL,W,39,46,15,32,46.9,5,10,50,11,14,78.6,2,1,3,6,2,1,3,3,10
Brandon Ingram,LAL,03/01/2019,LAL vs. MIL,L,39,31,13,21,61.9,1,4,25,4,5,80,1,7,8,2,0,1,0,3,-11
Zach LaVine,CHI,03/01/2019,CHI @ ATL,W,56,47,17,35,48.6,6,14,42.9,7,11,63.6,2,7,9,9,2,0,8,3,5
Lauri Markkanen,CHI,03/01/2019,CHI @ ATL,W,54,31,9,18,50,3,6,50,10,12,83.3,2,15,17,2,1,1,1,2,14
CJ McCollum,POR,03/01/2019,POR @ TOR,L,40,35,12,20,60,7,11,63.6,4,4,100,0,4,4,5,1,0,3,3,-5
Kawhi Leonard,TOR,03/01/2019,TOR vs. POR,W,34,38,14,22,63.6,2,4,50,8,8,100,0,3,3,5,3,0,2,1,14
Otto Porter Jr.,CHI,03/01/2019,CHI @ ATL,W,55,31,10,25,40,7,13,53.8,4,4,100,2,8,10,4,1,0,3,4,12
Eric Bledsoe,MIL,03/01/2019,MIL @ LAL,W,31,31,12,24,50,2,11,18.2,5,5,100,2,7,9,5,0,1,1,0,14
LeBron James,LAL,03/01/2019,LAL vs. MIL,L,39,31,10,19,52.6,3,8,37.5,8,10,80,2,5,7,10,1,0,3,2,-4
Trae Young,ATL,03/01/2019,ATL vs. CHI,L,56,49,17,33,51.5,6,13,46.2,9,11,81.8,1,7,8,16,1,1,9,2,-9
Bojan Bogdanovic,IND,02/28/2019,IND vs. MIN,W,30,37,13,22,59.1,4,7,57.1,7,9,77.8,2,5,7,4,0,0,1,1,17
Tobias Harris,PHI,02/28/2019,PHI @ OKC,W,40,32,11,19,57.9,5,7,71.4,5,5,100,0,5,5,3,1,1,1,2,6
James Harden,HOU,02/28/2019,HOU vs. MIA,W,44,58,16,32,50,8,18,44.4,18,18,100,2,5,7,10,4,1,4,1,10
Karl-Anthony Towns,MIN,02/28/2019,MIN @ IND,L,34,42,15,29,51.7,3,8,37.5,9,13,69.2,6,11,17,4,0,0,4,5,-4
Stephen Curry,GSW,02/28/2019,GSW @ ORL,L,37,33,12,33,36.4,5,17,29.4,4,4,100,1,7,8,6,0,0,3,1,1
Kemba Walker,CHA,02/27/2019,CHA vs. HOU,L,37,35,12,22,54.5,4,11,36.4,7,8,87.5,0,4,4,4,5,0,6,5,14
John Collins,ATL,02/27/2019,ATL vs. MIN,W,33,34,13,21,61.9,2,4,50,6,6,100,1,7,8,0,0,0,3,4,9
James Harden,HOU,02/27/2019,HOU @ CHA,W,36,30,10,29,34.5,1,11,9.1,9,9,100,0,3,3,7,2,1,1,2,-14
Zach LaVine,CHI,02/27/2019,CHI @ MEM,W,35,30,12,19,63.2,2,4,50,4,4,100,1,4,5,4,1,1,3,1,2
Karl-Anthony Towns,MIN,02/27/2019,MIN @ ATL,L,41,37,12,19,63.2,5,9,55.6,8,13,61.5,5,13,18,3,0,2,1,6,2
Kyrie Irving,BOS,02/27/2019,BOS vs. POR,L,35,31,14,24,58.3,3,5,60,0,0,-0,1,4,5,3,0,1,4,3,-10
Damian Lillard,POR,02/27/2019,POR @ BOS,W,37,33,13,28,46.4,3,10,30,4,4,100,3,4,7,4,1,0,1,2,9
Buddy Hield,SAC,02/27/2019,SAC vs. MIL,L,41,32,10,29,34.5,3,11,27.3,9,9,100,3,3,6,3,3,0,1,3,3
Donovan Mitchell,UTA,02/27/2019,UTA vs. LAC,W,36,32,10,22,45.5,3,9,33.3,9,12,75,0,4,4,4,0,1,6,2,8
Klay Thompson,GSW,02/27/2019,GSW @ MIA,L,37,36,14,23,60.9,7,15,46.7,1,1,100,0,2,2,1,3,0,0,1,12
Julius Randle,NOP,02/27/2019,NOP @ LAL,L,40,35,11,22,50,2,7,28.6,11,12,91.7,1,5,6,3,1,1,2,4,-10
Bradley Beal,WAS,02/27/2019,WAS @ BKN,W,40,31,12,22,54.5,3,9,33.3,4,4,100,0,2,2,4,2,2,7,3,23
Trae Young,ATL,02/27/2019,ATL vs. MIN,W,43,36,9,22,40.9,2,5,40,16,17,94.1,1,7,8,10,0,0,3,2,21
LeBron James,LAL,02/27/2019,LAL vs. NOP,W,37,33,13,24,54.2,4,9,44.4,3,8,37.5,1,5,6,10,2,1,2,2,2
Nikola Jokic,DEN,02/26/2019,DEN vs. OKC,W,35,36,11,25,44,4,7,57.1,10,13,76.9,1,8,9,10,0,1,2,2,22
CJ McCollum,POR,02/25/2019,POR @ CLE,W,36,35,12,18,66.7,7,8,87.5,4,6,66.7,1,6,7,2,1,0,3,5,19
Brandon Ingram,LAL,02/25/2019,LAL @ MEM,L,38,32,12,18,66.7,3,3,100,5,6,83.3,0,6,6,4,1,1,3,5,2
Montrezl Harrell,LAC,02/25/2019,LAC vs. DAL,W,29,32,14,17,82.4,0,0,-0,4,5,80,2,3,5,5,0,2,1,2,14
Karl-Anthony Towns,MIN,02/25/2019,MIN vs. SAC,W,31,34,13,18,72.2,3,6,50,5,7,71.4,2,19,21,5,0,2,4,5,12
Trae Young,ATL,02/25/2019,ATL @ HOU,L,41,36,12,23,52.2,8,12,66.7,4,4,100,0,1,1,8,0,0,4,2,-1
Mike Conley,MEM,02/25/2019,MEM vs. LAL,W,32,30,10,17,58.8,3,6,50,7,8,87.5,2,0,2,5,1,0,2,0,-2
DeMar DeRozan,SAS,02/24/2019,SAS @ NYK,L,32,32,12,22,54.5,0,0,-0,8,10,80,0,9,9,4,1,1,0,4,-17
Russell Westbrook,OKC,02/23/2019,OKC vs. SAC,L,35,41,15,30,50,5,12,41.7,6,8,75,1,9,10,4,1,1,7,5,-1
Buddy Hield,SAC,02/23/2019,SAC @ OKC,W,36,34,12,22,54.5,3,5,60,7,9,77.8,0,5,5,4,1,1,3,1,3
Zach LaVine,CHI,02/23/2019,CHI vs. BOS,W,39,42,17,29,58.6,5,11,45.5,3,3,100,1,5,6,4,0,0,5,5,3
Kyrie Irving,BOS,02/23/2019,BOS @ CHI,L,41,37,14,24,58.3,3,6,50,6,6,100,1,4,5,10,1,1,2,3,4
Bradley Beal,WAS,02/23/2019,WAS vs. IND,L,41,35,12,22,54.5,3,8,37.5,8,8,100,1,2,3,6,2,0,2,3,-1
D'Angelo Russell,BKN,02/23/2019,BKN @ CHA,W,35,40,14,31,45.2,6,15,40,6,6,100,1,0,1,7,2,1,4,2,1
Kevin Love,CLE,02/23/2019,CLE vs. MEM,W,26,32,9,15,60,6,9,66.7,8,8,100,1,11,12,0,1,1,3,4,14
Lauri Markkanen,CHI,02/23/2019,CHI vs. BOS,W,37,35,12,20,60,3,7,42.9,8,9,88.9,3,12,15,2,1,0,1,1,6
Kemba Walker,CHA,02/23/2019,CHA vs. BKN,L,40,32,12,28,42.9,6,15,40,2,2,100,0,1,1,3,2,0,1,1,-5
Trae Young,ATL,02/22/2019,ATL vs. DET,L,37,30,11,23,47.8,5,11,45.5,3,3,100,0,3,3,10,0,0,4,2,-1
Donovan Mitchell,UTA,02/22/2019,UTA @ OKC,L,46,38,14,35,40,4,10,40,6,6,100,1,3,4,5,0,1,3,2,-16
Bradley Beal,WAS,02/22/2019,WAS @ CHA,L,42,46,16,25,64,4,10,40,10,10,100,1,5,6,7,0,1,1,4,-4
Reggie Jackson,DET,02/22/2019,DET @ ATL,W,35,32,12,22,54.5,3,9,33.3,5,6,83.3,0,5,5,8,2,0,0,2,16
Montrezl Harrell,LAC,02/22/2019,LAC @ MEM,W,26,30,11,14,78.6,0,2,0,8,10,80,0,3,3,1,0,0,3,4,11
Paul George,OKC,02/22/2019,OKC vs. UTA,W,50,45,17,31,54.8,5,13,38.5,6,6,100,1,8,9,7,1,0,0,3,-4
Russell Westbrook,OKC,02/22/2019,OKC vs. UTA,W,43,43,15,29,51.7,6,13,46.2,7,10,70,2,13,15,8,2,1,5,6,9
Stephen Curry,GSW,02/21/2019,GSW vs. SAC,W,36,36,12,23,52.2,10,16,62.5,2,2,100,0,6,6,7,2,0,3,1,6
Devin Booker,PHX,02/21/2019,PHX @ CLE,L,38,30,10,20,50,3,9,33.3,7,9,77.8,0,1,1,7,1,0,9,4,-12
Giannis Antetokounmpo,MIL,02/21/2019,MIL vs. BOS,W,37,30,11,19,57.9,1,2,50,7,10,70,2,11,13,6,1,2,4,2,-10
James Harden,HOU,02/21/2019,HOU @ LAL,L,37,30,11,24,45.8,2,10,20,6,7,85.7,0,6,6,6,1,1,8,6,-8
Jrue Holiday,NOP,02/14/2019,NOP vs. OKC,W,39,32,12,27,44.4,3,8,37.5,5,5,100,0,5,5,7,2,3,2,1,19
Russell Westbrook,OKC,02/14/2019,OKC @ NOP,L,39,44,18,30,60,4,12,33.3,4,4,100,3,11,14,11,1,2,5,3,-15
Julius Randle,NOP,02/14/2019,NOP vs. OKC,W,39,33,11,21,52.4,2,3,66.7,9,12,75,4,7,11,6,1,1,4,3,19
Kevin Durant,GSW,02/13/2019,GSW @ POR,L,33,32,12,17,70.6,3,4,75,5,6,83.3,2,2,4,2,0,3,1,4,-6
Blake Griffin,DET,02/13/2019,DET @ BOS,L,37,32,10,19,52.6,4,8,50,8,12,66.7,3,5,8,5,0,0,2,2,1
Otto Porter Jr.,CHI,02/13/2019,CHI vs. MEM,W,34,37,16,20,80,3,5,60,2,2,100,3,7,10,2,0,1,2,2,21
Pascal Siakam,TOR,02/13/2019,TOR vs. WAS,W,33,44,15,25,60,4,5,80,10,12,83.3,3,7,10,2,0,3,4,5,24
Stephen Curry,GSW,02/13/2019,GSW @ POR,L,33,32,10,24,41.7,5,14,35.7,7,7,100,1,6,7,2,0,0,1,2,-10
James Harden,HOU,02/13/2019,HOU @ MIN,L,40,42,15,34,44.1,8,22,36.4,4,4,100,2,3,5,6,0,0,6,2,-14
Lou Williams,LAC,02/13/2019,LAC vs. PHX,W,22,30,12,16,75,2,3,66.7,4,4,100,0,1,1,10,0,0,1,1,6
D'Angelo Russell,BKN,02/13/2019,BKN @ CLE,W,43,36,13,30,43.3,5,15,33.3,5,6,83.3,1,6,7,8,0,0,7,5,7
Jordan Clarkson,CLE,02/13/2019,CLE vs. BKN,L,48,42,16,34,47.1,7,17,41.2,3,3,100,3,5,8,5,1,1,5,2,-10
Giannis Antetokounmpo,MIL,02/13/2019,MIL @ IND,W,38,33,12,22,54.5,0,2,0,9,10,90,7,12,19,11,2,1,2,1,18
Avery Bradley,MEM,02/12/2019,MEM vs. SAS,L,38,33,15,21,71.4,3,5,60,0,0,-0,0,6,6,6,1,0,2,1,-1
Damian Lillard,POR,02/11/2019,POR @ OKC,L,37,31,9,22,40.9,3,8,37.5,10,11,90.9,1,6,7,6,2,1,4,4,8
Blake Griffin,DET,02/11/2019,DET vs. WAS,W,40,31,12,23,52.2,4,10,40,3,4,75,2,7,9,9,0,0,2,5,-2
James Harden,HOU,02/11/2019,HOU vs. DAL,W,36,31,9,23,39.1,6,17,35.3,7,7,100,1,7,8,7,5,0,5,1,8
Kemba Walker,CHA,02/11/2019,CHA @ IND,L,39,34,10,23,43.5,4,12,33.3,10,12,83.3,1,8,9,3,2,0,3,1,11
Paul George,OKC,02/11/2019,OKC vs. POR,W,43,47,15,26,57.7,8,13,61.5,9,11,81.8,1,11,12,10,2,0,2,4,14
Bradley Beal,WAS,02/11/2019,WAS @ DET,L,41,32,9,19,47.4,2,8,25,12,12,100,0,6,6,10,2,1,1,3,-20
Andre Drummond,DET,02/11/2019,DET vs. WAS,W,36,32,12,19,63.2,0,1,0,8,10,80,4,13,17,0,4,1,1,3,14
Lou Williams,LAC,02/11/2019,LAC @ MIN,L,34,45,13,25,52,3,8,37.5,16,16,100,0,1,1,4,1,0,7,3,7
Kawhi Leonard,TOR,02/11/2019,TOR vs. BKN,W,34,30,10,20,50,1,5,20,9,9,100,1,1,2,8,1,0,3,2,-7
Josh Richardson,MIA,02/10/2019,MIA @ GSW,L,37,37,14,22,63.6,8,11,72.7,1,1,100,0,1,1,5,1,0,2,1,8
Kyle Kuzma,LAL,02/10/2019,LAL @ PHI,L,32,39,14,21,66.7,5,8,62.5,6,7,85.7,1,2,3,1,0,0,1,1,-6
Joel Embiid,PHI,02/10/2019,PHI vs. LAL,W,32,37,12,16,75,2,3,66.7,11,12,91.7,0,14,14,3,1,0,3,2,23
Kevin Durant,GSW,02/10/2019,GSW vs. MIA,W,37,39,16,24,66.7,1,7,14.3,6,10,60,0,6,6,4,0,1,3,2,-1
Marvin Bagley III,SAC,02/10/2019,SAC vs. PHX,W,32,32,10,15,66.7,1,2,50,11,13,84.6,1,6,7,1,1,1,1,2,7
Damian Lillard,POR,02/10/2019,POR @ DAL,L,36,30,10,23,43.5,6,11,54.5,4,4,100,0,3,3,5,2,0,5,1,2
Kemba Walker,CHA,02/09/2019,CHA @ ATL,W,37,37,13,27,48.1,9,17,52.9,2,2,100,1,0,1,7,1,0,3,2,15
James Harden,HOU,02/09/2019,HOU vs. OKC,L,37,42,11,28,39.3,6,16,37.5,14,15,93.3,0,2,2,1,1,0,5,2,-9
Paul George,OKC,02/09/2019,OKC @ HOU,W,41,45,12,22,54.5,6,14,42.9,15,18,83.3,2,9,11,3,1,0,2,5,16
Bradley Beal,WAS,02/09/2019,WAS @ CHI,W,34,31,13,21,61.9,1,3,33.3,4,4,100,0,2,2,4,4,0,2,2,4
Bobby Portis,WAS,02/08/2019,WAS vs. CLE,W,27,30,12,18,66.7,4,6,66.7,2,2,100,2,4,6,2,1,0,2,3,19
Anthony Davis,NOP,02/08/2019,NOP vs. MIN,W,25,32,11,15,73.3,0,1,0,10,11,90.9,2,7,9,2,0,3,2,3,22
Karl-Anthony Towns,MIN,02/08/2019,MIN @ NOP,L,33,32,12,20,60,4,5,80,4,4,100,1,7,8,3,1,2,4,2,-15
Dennis Smith Jr.,NYK,02/08/2019,NYK @ DET,L,35,31,9,15,60,2,5,40,11,19,57.9,1,1,2,8,2,0,4,3,-18
Lauri Markkanen,CHI,02/08/2019,CHI @ BKN,W,38,31,11,18,61.1,4,7,57.1,5,6,83.3,2,16,18,0,0,2,3,3,17
JJ Redick,PHI,02/08/2019,PHI vs. DEN,W,33,34,11,15,73.3,6,7,85.7,6,7,85.7,0,3,3,3,0,0,3,0,14
Pascal Siakam,TOR,02/07/2019,TOR @ ATL,W,40,33,12,20,60,2,5,40,7,9,77.8,4,10,14,4,2,1,2,3,23
CJ McCollum,POR,02/07/2019,POR vs. SAS,W,34,30,10,21,47.6,7,13,53.8,3,3,100,0,9,9,2,2,2,0,1,16
Terrence Ross,ORL,02/07/2019,ORL vs. MIN,W,31,32,13,23,56.5,6,13,46.2,0,0,-0,0,5,5,1,0,0,1,0,8
Fred VanVleet,TOR,02/07/2019,TOR @ ATL,W,37,30,11,22,50,4,11,36.4,4,5,80,0,5,5,6,0,0,1,2,32
DeMar DeRozan,SAS,02/07/2019,SAS @ POR,L,35,35,14,28,50,0,0,-0,7,8,87.5,1,5,6,6,0,0,5,1,-15
Julius Randle,NOP,02/06/2019,NOP @ CHI,W,31,31,10,18,55.6,4,6,66.7,7,9,77.8,3,4,7,3,0,0,2,2,12
Lauri Markkanen,CHI,02/06/2019,CHI vs. NOP,L,41,30,10,19,52.6,5,10,50,5,5,100,2,8,10,2,0,0,2,3,6
Kemba Walker,CHA,02/06/2019,CHA @ DAL,L,37,30,10,22,45.5,4,11,36.4,6,6,100,2,9,11,6,2,0,4,2,0
Giannis Antetokounmpo,MIL,02/06/2019,MIL vs. WAS,W,31,43,17,21,81,3,3,100,6,11,54.5,2,4,6,4,3,0,4,4,2
