PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Bradley Beal,WAS,10/20/2018,WAS vs. TOR,L,35,32,12,21,57.1,6,11,54.5,2,4,50,0,3,3,6,1,1,1,5,3
Evan Fournier,ORL,10/20/2018,ORL @ PHI,L,34,31,12,23,52.2,6,10,60,1,1,100,0,4,4,3,1,0,1,3,19
Kemba Walker,CHA,10/20/2018,CHA @ MIA,W,40,39,14,31,45.2,7,15,46.7,4,7,57.1,0,5,5,7,0,0,2,4,1
Zach LaVine,CHI,10/20/2018,CHI vs. DET,L,37,33,12,21,57.1,2,6,33.3,7,9,77.8,0,3,3,3,0,0,2,3,-14
Garrett Temple,MEM,10/19/2018,MEM vs. ATL,W,34,30,10,11,90.9,5,6,83.3,5,7,71.4,0,4,4,2,1,1,1,1,37
Nikola Mirotic,NOP,10/19/2018,NOP vs. SAC,W,31,36,14,21,66.7,5,9,55.6,3,6,50,2,7,9,2,0,0,0,4,14
Kevin Durant,GSW,10/19/2018,GSW @ UTA,W,40,38,14,25,56,1,1,100,9,9,100,0,9,9,7,1,1,2,3,-1
Jimmy Butler,MIN,10/19/2018,MIN vs. CLE,W,36,33,10,12,83.3,1,1,100,12,12,100,2,5,7,3,4,2,2,0,-3
Stephen Curry,GSW,10/19/2018,GSW @ UTA,W,37,31,13,24,54.2,5,9,55.6,0,1,0,1,3,4,8,2,0,4,2,-3
Kawhi Leonard,TOR,10/19/2018,TOR vs. BOS,W,36,31,10,25,40,2,5,40,9,9,100,2,8,10,3,1,0,3,1,17
Zach LaVine,CHI,10/18/2018,CHI @ PHI,L,33,30,11,19,57.9,2,7,28.6,6,7,85.7,0,5,5,3,0,3,5,5,-10
Joel Embiid,PHI,10/18/2018,PHI vs. CHI,W,33,30,9,14,64.3,0,3,0,12,14,85.7,1,11,12,3,1,4,2,4,26
Kemba Walker,CHA,10/17/2018,CHA vs. MIL,L,39,41,15,29,51.7,7,13,53.8,4,5,80,1,1,2,4,2,0,3,0,-1
Nikola Mirotic,NOP,10/17/2018,NOP @ HOU,W,30,30,11,20,55,6,8,75,2,3,66.7,7,3,10,3,0,0,1,1,14
Anthony Davis,NOP,10/17/2018,NOP @ HOU,W,39,32,13,21,61.9,0,0,-0,6,7,85.7,2,14,16,8,3,3,1,5,23
Devin Booker,PHX,10/17/2018,PHX vs. DAL,W,33,35,12,19,63.2,6,10,60,5,6,83.3,0,4,4,7,0,0,3,4,22
Tim Hardaway Jr.,NYK,10/17/2018,NYK vs. ATL,W,29,31,10,22,45.5,3,9,33.3,8,8,100,1,5,6,5,2,0,0,2,14
Stephen Curry,GSW,10/16/2018,GSW vs. OKC,W,37,32,11,20,55,5,9,55.6,5,5,100,0,8,8,9,1,0,3,4,15
