PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Wilson Chandler,PHI,01/01/2019,PHI @ LAC,W,27,7,3,6,50.0,1,1,100.0,0,0,-,2,2,4,2,1,0,1,4,-6
Bogdan Bogdanovic,SAC,01/01/2019,SAC vs. POR,L,36,19,7,19,36.8,3,11,27.3,2,2,100.0,0,5,5,5,3,0,4,3,-9
Jose Calderon,DET,01/01/2019,DET @ MIL,L,16,0,0,5,0.0,0,4,0.0,0,0,-,0,2,2,1,0,0,1,2,-10
Jonah Bolden,PHI,01/01/2019,PHI @ LAC,W,15,9,4,4,100.0,1,1,100.0,0,0,-,5,1,6,0,0,1,1,1,7
Blake Griffin,DET,01/01/2019,DET @ MIL,L,33,29,9,20,45.0,4,9,44.4,7,7,100.0,4,5,9,4,1,1,6,5,-19
Joe Ingles,UTA,01/01/2019,UTA @ TOR,L,34,2,0,5,0.0,0,5,0.0,2,3,66.7,0,6,6,6,2,0,1,5,-4
Serge Ibaka,TOR,01/01/2019,TOR vs. UTA,W,30,8,3,10,30.0,1,3,33.3,1,4,25.0,0,8,8,3,1,1,0,4,10
D.J. Wilson,MIL,01/01/2019,MIL vs. DET,W,17,0,0,2,0.0,0,1,0.0,0,0,-,1,4,5,1,0,0,0,1,13
Mason Plumlee,DEN,01/01/2019,DEN vs. NYK,W,24,8,4,5,80.0,0,0,-,0,0,-,1,6,7,2,2,0,0,4,-1
Nikola Jokic,DEN,01/01/2019,DEN vs. NYK,W,34,19,8,16,50.0,1,2,50.0,2,3,66.7,6,8,14,15,1,3,5,3,6
Sterling Brown,MIL,01/01/2019,MIL vs. DET,W,16,4,2,3,66.7,0,1,0.0,0,0,-,0,2,2,1,3,0,0,1,3
Jusuf Nurkic,POR,01/01/2019,POR @ SAC,W,38,24,5,10,50.0,0,0,-,14,16,87.5,5,18,23,7,5,5,4,4,8
Langston Galloway,DET,01/01/2019,DET @ MIL,L,10,0,0,7,0.0,0,4,0.0,0,0,-,0,0,0,3,0,0,0,2,1
Reggie Jackson,DET,01/01/2019,DET @ MIL,L,22,19,8,10,80.0,2,3,66.7,1,1,100.0,0,0,0,3,0,0,3,2,-14
Fred VanVleet,TOR,01/01/2019,TOR vs. UTA,W,32,8,3,5,60.0,1,2,50.0,1,2,50.0,0,4,4,5,0,0,2,1,12
Tobias Harris,LAC,01/01/2019,LAC vs. PHI,L,25,21,7,15,46.7,1,4,25.0,6,6,100.0,1,5,6,0,3,0,1,4,-6
Dennis Smith Jr.,DAL,12/31/2018,DAL @ OKC,L,21,10,3,6,50.0,2,3,66.7,2,4,50.0,0,1,1,3,0,0,2,4,-9
Danuel House Jr.,HOU,12/31/2018,HOU vs. MEM,W,27,16,5,8,62.5,4,6,66.7,2,2,100.0,2,1,3,1,0,1,0,2,-1
MarShon Brooks,MEM,12/31/2018,MEM @ HOU,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,0,1,0,-2
Cory Joseph,IND,12/31/2018,IND vs. ATL,W,24,7,2,4,50.0,1,2,50.0,2,2,100.0,1,3,4,3,1,1,0,0,3
Salah Mejri,DAL,12/31/2018,DAL @ OKC,L,9,8,4,4,100.0,0,0,-,0,0,-,0,1,1,0,1,0,0,0,-8
Miles Bridges,CHA,12/31/2018,CHA vs. ORL,W,21,6,2,5,40.0,0,1,0.0,2,2,100.0,0,2,2,1,0,0,0,2,5
Nerlens Noel,OKC,12/31/2018,OKC vs. DAL,W,15,15,5,7,71.4,0,0,-,5,6,83.3,2,3,5,0,0,1,0,3,0
Kyle Anderson,MEM,12/31/2018,MEM @ HOU,L,39,20,9,13,69.2,2,4,50.0,0,6,0.0,1,2,3,5,3,1,2,5,-15
DeAndre Jordan,DAL,12/31/2018,DAL @ OKC,L,24,2,1,2,50.0,0,0,-,0,0,-,1,9,10,1,0,0,6,4,-13
Thaddeus Young,IND,12/31/2018,IND vs. ATL,W,37,6,3,7,42.9,0,1,0.0,0,2,0.0,1,5,6,2,3,1,1,4,2
Jaren Jackson Jr.,MEM,12/31/2018,MEM @ HOU,L,13,4,2,8,25.0,0,2,0.0,0,0,-,0,2,2,0,1,0,0,5,-3
Jakob Poeltl,SAS,12/31/2018,SAS vs. BOS,W,20,2,1,4,25.0,0,0,-,0,0,-,3,3,6,5,0,0,1,2,-14
Klay Thompson,GSW,12/31/2018,GSW @ PHX,W,25,15,5,13,38.5,2,4,50.0,3,4,75.0,3,2,5,1,1,0,1,5,-1
Wesley Matthews,DAL,12/31/2018,DAL @ OKC,L,24,7,2,9,22.2,1,6,16.7,2,2,100.0,0,3,3,0,2,1,2,4,-16
Dillon Brooks,MEM,12/31/2018,MEM @ HOU,L,19,3,1,7,14.3,0,3,0.0,1,2,50.0,2,0,2,1,1,0,3,4,7
Tyler Dorsey,ATL,12/31/2018,ATL @ IND,L,4,3,1,3,33.3,0,1,0.0,1,1,100.0,1,1,2,0,0,0,0,0,-4
Andrew Wiggins,MIN,12/31/2018,MIN @ NOP,L,38,20,8,21,38.1,2,8,25.0,2,2,100.0,1,1,2,3,1,1,2,1,3
Gordon Hayward,BOS,12/31/2018,BOS @ SAS,L,22,0,0,6,0.0,0,5,0.0,0,0,-,1,3,4,5,1,0,1,0,-2
Daniel Theis,BOS,12/31/2018,BOS @ SAS,L,19,4,2,5,40.0,0,1,0.0,0,0,-,2,4,6,1,0,1,1,4,-2
Cheick Diallo,NOP,12/31/2018,NOP vs. MIN,W,15,1,0,0,-,0,0,-,1,2,50.0,1,8,9,0,0,0,1,1,7
Robert Covington,MIN,12/31/2018,MIN @ NOP,L,38,16,6,13,46.2,4,8,50.0,0,1,0.0,1,1,2,3,4,1,2,4,1
Garrett Temple,MEM,12/31/2018,MEM @ HOU,L,26,10,4,9,44.4,0,3,0.0,2,2,100.0,0,1,1,0,2,0,0,3,-9
Jarell Martin,ORL,12/31/2018,ORL @ CHA,L,8,4,2,3,66.7,0,1,0.0,0,0,-,1,1,2,0,0,0,0,1,5
Wes Iwundu,ORL,12/31/2018,ORL @ CHA,L,23,9,3,5,60.0,0,1,0.0,3,4,75.0,1,2,3,0,1,0,2,3,-37
Josh Okogie,MIN,12/31/2018,MIN @ NOP,L,19,6,2,5,40.0,0,1,0.0,2,2,100.0,1,1,2,1,2,0,1,2,-22
DeAndre' Bembry,ATL,12/31/2018,ATL @ IND,L,28,4,2,8,25.0,0,2,0.0,0,0,-,1,5,6,1,3,2,2,1,0
Pau Gasol,SAS,12/31/2018,SAS vs. BOS,W,5,0,0,0,-,0,0,-,0,0,-,0,5,5,0,0,0,0,1,1
Jonas Jerebko,GSW,12/31/2018,GSW @ PHX,W,20,7,2,8,25.0,0,3,0.0,3,3,100.0,0,2,2,1,0,0,0,1,21
Mikal Bridges,PHX,12/31/2018,PHX vs. GSW,L,33,6,2,6,33.3,1,4,25.0,1,2,50.0,0,3,3,3,0,0,0,3,-12
Nene,HOU,12/31/2018,HOU vs. MEM,W,10,0,0,4,0.0,0,0,-,0,0,-,1,3,4,0,0,0,0,2,-9
Darren Collison,IND,12/31/2018,IND vs. ATL,W,29,12,4,7,57.1,1,2,50.0,3,3,100.0,0,4,4,6,2,0,0,3,11
Shaun Livingston,GSW,12/31/2018,GSW @ PHX,W,17,10,5,6,83.3,0,0,-,0,0,-,0,2,2,3,1,1,0,0,7
Aaron Gordon,ORL,12/31/2018,ORL @ CHA,L,33,14,6,17,35.3,2,6,33.3,0,0,-,2,6,8,5,0,0,0,1,-7
Karl-Anthony Towns,MIN,12/31/2018,MIN @ NOP,L,37,28,10,23,43.5,2,5,40.0,6,8,75.0,3,14,17,6,0,5,2,6,6
Cody Zeller,CHA,12/31/2018,CHA vs. ORL,W,24,14,3,5,60.0,0,1,0.0,8,8,100.0,0,6,6,2,0,0,1,1,9
Evan Fournier,ORL,12/31/2018,ORL @ CHA,L,25,9,3,6,50.0,2,4,50.0,1,1,100.0,0,3,3,4,0,0,4,1,-20
John Collins,ATL,12/31/2018,ATL @ IND,L,37,22,8,15,53.3,2,4,50.0,4,4,100.0,7,9,16,4,0,0,0,3,-3
Domantas Sabonis,IND,12/31/2018,IND vs. ATL,W,27,20,7,12,58.3,0,0,-,6,8,75.0,4,3,7,0,1,0,1,2,1
Jerryd Bayless,MIN,12/31/2018,MIN @ NOP,L,10,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,1,0,0,1,-12
Nikola Vucevic,ORL,12/31/2018,ORL @ CHA,L,23,12,5,13,38.5,1,3,33.3,1,4,25.0,1,4,5,2,1,2,0,2,-15
J.J. Barea,DAL,12/31/2018,DAL @ OKC,L,21,6,1,8,12.5,0,5,0.0,4,6,66.7,0,3,3,8,1,0,2,0,-8
Marcus Morris Sr.,BOS,12/31/2018,BOS @ SAS,L,28,18,7,13,53.8,2,3,66.7,2,3,66.7,0,4,4,0,0,1,0,2,-3
DeMar DeRozan,SAS,12/31/2018,SAS vs. BOS,W,35,13,6,18,33.3,0,0,-,1,1,100.0,0,7,7,10,1,0,1,1,7
Gorgui Dieng,MIN,12/31/2018,MIN @ NOP,L,11,10,4,6,66.7,0,1,0.0,2,2,100.0,2,4,6,0,0,1,0,0,-15
Dwight Powell,DAL,12/31/2018,DAL @ OKC,L,16,3,1,1,100.0,0,0,-,1,2,50.0,0,3,3,0,0,2,3,6,1
Jaylen Brown,BOS,12/31/2018,BOS @ SAS,L,31,30,10,15,66.7,3,5,60.0,7,8,87.5,1,3,4,2,0,2,0,0,-2
Bojan Bogdanovic,IND,12/31/2018,IND vs. ATL,W,33,16,6,12,50.0,1,3,33.3,3,3,100.0,0,4,4,3,2,0,5,1,5
Victor Oladipo,IND,12/31/2018,IND vs. ATL,W,34,22,9,19,47.4,2,4,50.0,2,2,100.0,0,4,4,7,4,0,1,2,9
Jeremy Lamb,CHA,12/31/2018,CHA vs. ORL,W,9,9,4,4,100.0,0,0,-,1,1,100.0,0,2,2,2,1,0,0,0,9
Kevin Huerter,ATL,12/31/2018,ATL @ IND,L,40,22,8,15,53.3,6,9,66.7,0,2,0.0,0,0,0,2,0,1,2,3,-4
Vince Carter,ATL,12/31/2018,ATL @ IND,L,17,0,0,7,0.0,0,4,0.0,0,0,-,2,3,5,1,1,0,1,2,-7
Jordan Bell,GSW,12/31/2018,GSW @ PHX,W,16,10,5,5,100.0,0,0,-,0,0,-,0,6,6,2,0,3,1,2,0
Jalen Brunson,DAL,12/31/2018,DAL @ OKC,L,10,2,1,4,25.0,0,0,-,0,0,-,0,0,0,3,0,0,1,2,-1
Marco Belinelli,SAS,12/31/2018,SAS vs. BOS,W,23,8,1,4,25.0,1,3,33.3,5,5,100.0,0,3,3,2,1,0,1,3,-1
Bismack Biyombo,CHA,12/31/2018,CHA vs. ORL,W,7,2,1,2,50.0,0,0,-,0,0,-,1,1,2,0,0,0,0,4,-5
Darius Miller,NOP,12/31/2018,NOP vs. MIN,W,27,21,7,11,63.6,5,8,62.5,2,2,100.0,0,3,3,3,0,1,0,4,25
Davis Bertans,SAS,12/31/2018,SAS vs. BOS,W,31,17,6,12,50.0,5,8,62.5,0,0,-,2,3,5,0,1,0,1,3,17
Joakim Noah,MEM,12/31/2018,MEM @ HOU,L,9,2,1,2,50.0,0,0,-,0,0,-,0,3,3,1,0,0,1,3,-2
Julius Randle,NOP,12/31/2018,NOP vs. MIN,W,38,33,13,23,56.5,2,4,50.0,5,6,83.3,3,7,10,3,0,0,0,5,-6
PJ Tucker,HOU,12/31/2018,HOU vs. MEM,W,37,4,0,5,0.0,0,4,0.0,4,6,66.7,0,7,7,2,0,0,0,5,20
Solomon Hill,NOP,12/31/2018,NOP vs. MIN,W,29,4,2,3,66.7,0,1,0.0,0,0,-,0,4,4,2,1,0,2,4,20
Kevon Looney,GSW,12/31/2018,GSW @ PHX,W,13,5,2,3,66.7,0,0,-,1,1,100.0,0,4,4,1,1,0,0,4,3
Brandon Knight,HOU,12/31/2018,HOU vs. MEM,W,11,1,0,3,0.0,0,3,0.0,1,2,50.0,0,1,1,2,1,0,0,2,-9
Tony Parker,CHA,12/31/2018,CHA vs. ORL,W,12,1,0,4,0.0,0,1,0.0,1,2,50.0,0,3,3,2,0,0,0,1,11
Gary Clark,HOU,12/31/2018,HOU vs. MEM,W,10,0,0,0,-,0,0,-,0,0,-,0,2,2,0,1,0,0,3,-7
Miles Plumlee,ATL,12/31/2018,ATL @ IND,L,12,4,2,4,50.0,0,0,-,0,0,-,0,2,2,2,0,0,0,1,0
Elfrid Payton,NOP,12/31/2018,NOP vs. MIN,W,24,9,3,9,33.3,1,3,33.3,2,2,100.0,0,1,1,6,1,0,4,2,-10
LaMarcus Aldridge,SAS,12/31/2018,SAS vs. BOS,W,36,32,13,23,56.5,0,0,-,6,7,85.7,3,6,9,5,1,2,2,1,15
Frank Kaminsky,CHA,12/31/2018,CHA vs. ORL,W,8,6,2,2,100.0,1,1,100.0,1,2,50.0,1,1,2,1,0,0,1,0,-5
Jrue Holiday,NOP,12/31/2018,NOP vs. MIN,W,38,26,8,17,47.1,2,3,66.7,8,8,100.0,0,4,4,8,0,0,5,0,2
Kyrie Irving,BOS,12/31/2018,BOS @ SAS,L,29,16,7,14,50.0,1,5,20.0,1,2,50.0,1,2,3,8,2,0,3,0,-16
Patrick Patterson,OKC,12/31/2018,OKC vs. DAL,W,18,3,1,4,25.0,1,3,33.3,0,0,-,0,3,3,1,0,0,0,1,0
Jeremy Lin,ATL,12/31/2018,ATL @ IND,L,20,7,1,7,14.3,0,1,0.0,5,5,100.0,1,2,3,2,0,1,1,5,-13
Mike Conley,MEM,12/31/2018,MEM @ HOU,L,37,19,7,18,38.9,0,4,0.0,5,6,83.3,1,5,6,5,1,0,1,2,-7
Bryn Forbes,SAS,12/31/2018,SAS vs. BOS,W,38,15,6,14,42.9,3,7,42.9,0,0,-,0,2,2,2,1,0,2,3,9
Gerald Green,HOU,12/31/2018,HOU vs. MEM,W,25,18,6,11,54.5,6,11,54.5,0,0,-,0,5,5,0,0,1,2,1,23
Devin Booker,PHX,12/31/2018,PHX vs. GSW,L,33,20,6,15,40.0,2,5,40.0,6,6,100.0,0,2,2,6,1,0,5,4,-21
Willy Hernangomez,CHA,12/31/2018,CHA vs. ORL,W,14,10,2,5,40.0,0,0,-,6,7,85.7,1,7,8,1,1,0,0,1,9
Quinn Cook,GSW,12/31/2018,GSW @ PHX,W,16,8,3,6,50.0,2,3,66.7,0,0,-,1,2,3,2,0,0,3,3,10
Clint Capela,HOU,12/31/2018,HOU vs. MEM,W,38,19,7,9,77.8,0,0,-,5,8,62.5,3,10,13,0,0,1,0,2,21
Maxi Kleber,DAL,12/31/2018,DAL @ OKC,L,19,1,0,1,0.0,0,1,0.0,1,2,50.0,0,6,6,0,0,0,1,1,-4
JaMychal Green,MEM,12/31/2018,MEM @ HOU,L,20,17,5,6,83.3,3,3,100.0,4,5,80.0,2,4,6,2,1,1,1,4,-7
Marcus Derrickson,GSW,12/31/2018,GSW @ PHX,W,4,2,0,1,0.0,0,0,-,2,2,100.0,1,0,1,0,0,0,0,0,-5
Paul George,OKC,12/31/2018,OKC vs. DAL,W,33,22,7,21,33.3,2,6,33.3,6,7,85.7,2,2,4,1,4,0,0,5,17
Myles Turner,IND,12/31/2018,IND vs. ATL,W,23,20,7,9,77.8,3,4,75.0,3,5,60.0,2,6,8,4,0,4,1,2,16
Dario Saric,MIN,12/31/2018,MIN @ NOP,L,16,2,1,6,16.7,0,1,0.0,0,0,-,1,2,3,1,0,0,0,3,-19
James Harden,HOU,12/31/2018,HOU vs. MEM,W,41,43,8,19,42.1,6,12,50.0,21,27,77.8,1,9,10,13,2,0,9,3,21
Devin Harris,DAL,12/31/2018,DAL @ OKC,L,16,5,1,4,25.0,0,3,0.0,3,4,75.0,0,2,2,1,0,0,2,3,-3
Terrance Ferguson,OKC,12/31/2018,OKC vs. DAL,W,25,5,2,6,33.3,0,2,0.0,1,2,50.0,0,1,1,1,1,1,1,5,21
Malik Monk,CHA,12/31/2018,CHA vs. ORL,W,24,21,7,14,50.0,3,6,50.0,4,4,100.0,0,3,3,4,1,1,1,0,25
Dragan Bender,PHX,12/31/2018,PHX vs. GSW,L,12,3,1,3,33.3,0,1,0.0,1,2,50.0,0,3,3,2,1,1,0,0,-5
Terry Rozier,BOS,12/31/2018,BOS @ SAS,L,20,15,4,9,44.4,4,6,66.7,3,5,60.0,1,1,2,5,0,1,0,1,4
Russell Westbrook,OKC,12/31/2018,OKC vs. DAL,W,35,32,13,24,54.2,0,1,0.0,6,6,100.0,0,11,11,11,4,0,5,4,22
