PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Mike Muscala,PHI,12/19/2018,PHI vs. NYK,W,26,9,3,9,33.3,3,7,42.9,0,0,-,1,5,6,2,0,1,1,3,9
Thabo Sefolosha,UTA,12/19/2018,UTA vs. GSW,W,4,3,1,1,100.0,1,1,100.0,0,0,-,0,0,0,0,0,0,0,0,-6
Courtney Lee,NYK,12/19/2018,NYK @ PHI,L,10,4,2,2,100.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-7
Blake Griffin,DET,12/19/2018,DET @ MIN,W,42,34,13,22,59.1,5,10,50.0,3,6,50.0,1,7,8,4,0,1,2,4,15
Cedi Osman,CLE,12/19/2018,CLE @ CHA,L,28,13,6,10,60.0,1,3,33.3,0,0,-,0,2,2,2,0,0,0,2,-4
Jayson Tatum,BOS,12/19/2018,BOS vs. PHX,L,36,18,7,17,41.2,2,5,40.0,2,2,100.0,0,8,8,0,1,4,2,2,5
Shelvin Mack,MEM,12/19/2018,MEM @ POR,L,22,2,0,5,0.0,0,0,-,2,2,100.0,0,0,0,2,2,0,1,1,-23
De'Aaron Fox,SAC,12/19/2018,SAC vs. OKC,L,37,28,10,18,55.6,3,5,60.0,5,9,55.6,2,1,3,12,2,2,4,0,-9
Garrett Temple,MEM,12/19/2018,MEM @ POR,L,29,10,4,7,57.1,1,2,50.0,1,2,50.0,0,1,1,1,2,2,0,5,4
Justin Holiday,CHI,12/19/2018,CHI vs. BKN,L,35,5,2,10,20.0,1,5,20.0,0,0,-,0,3,3,3,1,2,2,3,-2
Joel Embiid,PHI,12/19/2018,PHI vs. NYK,W,26,24,10,17,58.8,0,0,-,4,4,100.0,3,7,10,3,0,1,4,4,10
Anthony Davis,NOP,12/19/2018,NOP @ MIL,L,29,27,10,18,55.6,4,9,44.4,3,6,50.0,0,11,11,3,2,3,3,2,-13
Furkan Korkmaz,PHI,12/19/2018,PHI vs. NYK,W,17,9,3,4,75.0,2,3,66.7,1,1,100.0,0,3,3,0,0,0,0,2,6
Deandre Ayton,PHX,12/19/2018,PHX @ BOS,W,32,23,10,14,71.4,0,0,-,3,4,75.0,8,10,18,0,1,0,2,1,0
Frank Jackson,NOP,12/19/2018,NOP @ MIL,L,18,8,3,5,60.0,2,2,100.0,0,0,-,0,2,2,0,0,0,0,1,-10
Draymond Green,GSW,12/19/2018,GSW @ UTA,L,37,8,4,10,40.0,0,2,0.0,0,0,-,1,11,12,1,2,0,0,2,-1
Gerald Green,HOU,12/19/2018,HOU vs. WAS,W,28,12,4,7,57.1,4,7,57.1,0,0,-,0,2,2,1,0,0,2,4,16
D'Angelo Russell,BKN,12/19/2018,BKN @ CHI,W,31,13,6,14,42.9,1,6,16.7,0,0,-,0,3,3,3,0,0,2,1,-1
Shabazz Napier,BKN,12/19/2018,BKN @ CHI,W,10,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,3,0,0,1,1,0
Fred VanVleet,TOR,12/19/2018,TOR vs. IND,W,31,11,4,17,23.5,3,11,27.3,0,0,-,0,2,2,1,2,2,0,1,4
Paul George,OKC,12/19/2018,OKC @ SAC,W,38,43,15,27,55.6,4,8,50.0,9,10,90.0,2,10,12,7,0,0,5,3,29
Myles Turner,IND,12/19/2018,IND @ TOR,L,26,10,3,6,50.0,1,1,100.0,3,3,100.0,1,13,14,1,1,5,2,5,10
Quincy Pondexter,SAS,12/19/2018,SAS @ ORL,W,8,5,1,4,25.0,0,1,0.0,3,4,75.0,1,1,2,1,1,1,0,0,9
Bryn Forbes,SAS,12/19/2018,SAS @ ORL,W,25,17,7,8,87.5,3,4,75.0,0,0,-,1,3,4,0,0,0,2,3,15
Evan Turner,POR,12/19/2018,POR vs. MEM,W,26,6,3,7,42.9,0,1,0.0,0,0,-,2,3,5,4,0,0,3,3,16
Mikal Bridges,PHX,12/19/2018,PHX @ BOS,W,33,9,3,7,42.9,3,6,50.0,0,0,-,2,5,7,0,1,0,0,1,5
Andre Iguodala,GSW,12/19/2018,GSW @ UTA,L,17,3,1,5,20.0,1,3,33.3,0,0,-,0,3,3,0,0,1,0,3,-4
Bojan Bogdanovic,IND,12/19/2018,IND @ TOR,L,33,18,7,13,53.8,3,6,50.0,1,2,50.0,1,4,5,1,2,0,1,3,2
Terrance Ferguson,OKC,12/19/2018,OKC @ SAC,W,29,14,6,14,42.9,2,6,33.3,0,0,-,3,0,3,0,0,0,0,4,5
Frank Kaminsky,CHA,12/19/2018,CHA vs. CLE,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,1
George Hill,MIL,12/19/2018,MIL vs. NOP,W,29,11,4,5,80.0,2,2,100.0,1,1,100.0,1,1,2,1,2,0,0,0,11
Shake Milton,PHI,12/19/2018,PHI vs. NYK,W,4,5,1,2,50.0,1,2,50.0,2,2,100.0,0,1,1,2,0,0,0,0,1
Josh Jackson,PHX,12/19/2018,PHX @ BOS,W,28,11,5,8,62.5,1,2,50.0,0,0,-,1,4,5,2,1,1,2,4,14
Donovan Mitchell,UTA,12/19/2018,UTA vs. GSW,W,36,17,5,26,19.2,2,11,18.2,5,7,71.4,1,4,5,6,2,1,6,3,5
Malcolm Brogdon,MIL,12/19/2018,MIL vs. NOP,W,26,16,6,13,46.2,2,3,66.7,2,2,100.0,1,6,7,4,2,0,2,0,10
Taj Gibson,MIN,12/19/2018,MIN vs. DET,L,22,6,3,5,60.0,0,0,-,0,0,-,3,5,8,1,0,0,0,6,-16
Larry Nance Jr.,CLE,12/19/2018,CLE @ CHA,L,34,10,4,7,57.1,0,0,-,2,2,100.0,3,12,15,7,2,1,0,4,1
Willy Hernangomez,CHA,12/19/2018,CHA vs. CLE,W,4,2,1,3,33.3,0,1,0.0,0,0,-,1,1,2,0,0,0,1,1,-4
Jamal Crawford,PHX,12/19/2018,PHX @ BOS,W,15,3,1,4,25.0,1,2,50.0,0,0,-,2,2,4,5,0,0,1,1,11
Shaquille Harrison,CHI,12/19/2018,CHI vs. BKN,L,26,13,6,8,75.0,0,1,0.0,1,1,100.0,0,2,2,1,2,0,0,4,-7
CJ McCollum,POR,12/19/2018,POR vs. MEM,W,30,11,5,16,31.3,0,3,0.0,1,2,50.0,1,3,4,1,1,0,2,3,-14
Hamidou Diallo,OKC,12/19/2018,OKC @ SAC,W,17,0,0,4,0.0,0,1,0.0,0,0,-,0,7,7,0,0,1,1,2,9
Cory Joseph,IND,12/19/2018,IND @ TOR,L,23,5,2,4,50.0,1,1,100.0,0,0,-,0,4,4,2,2,0,1,3,-10
Richaun Holmes,PHX,12/19/2018,PHX @ BOS,W,16,6,2,6,33.3,0,0,-,2,2,100.0,2,3,5,1,0,1,0,2,8
Thomas Bryant,WAS,12/19/2018,WAS @ HOU,L,24,12,5,6,83.3,2,2,100.0,0,0,-,1,3,4,1,0,1,0,1,-10
Gorgui Dieng,MIN,12/19/2018,MIN vs. DET,L,11,8,2,4,50.0,0,0,-,4,4,100.0,3,3,6,1,0,0,1,2,6
Tomas Satoransky,WAS,12/19/2018,WAS @ HOU,L,22,3,1,3,33.3,1,2,50.0,0,0,-,0,3,3,2,0,0,0,0,-11
Kemba Walker,CHA,12/19/2018,CHA vs. CLE,W,38,30,11,26,42.3,4,12,33.3,4,5,80.0,2,1,3,6,2,1,1,2,13
Timothe Luwawu-Cabarrot,OKC,12/19/2018,OKC @ SAC,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Klay Thompson,GSW,12/19/2018,GSW @ UTA,L,37,12,3,12,25.0,0,4,0.0,6,6,100.0,1,5,6,3,3,1,1,4,-6
Tony Parker,CHA,12/19/2018,CHA vs. CLE,W,23,12,5,10,50.0,0,0,-,2,3,66.7,0,1,1,4,0,0,3,1,-5
Chris Paul,HOU,12/19/2018,HOU vs. WAS,W,28,21,7,11,63.6,5,9,55.6,2,2,100.0,0,2,2,8,2,1,3,2,10
Victor Oladipo,IND,12/19/2018,IND @ TOR,L,36,20,9,19,47.4,0,2,0.0,2,3,66.7,0,2,2,4,0,0,6,0,-4
Brook Lopez,MIL,12/19/2018,MIL vs. NOP,W,20,10,3,8,37.5,2,6,33.3,2,2,100.0,0,1,1,1,1,1,1,1,-19
Terry Rozier,BOS,12/19/2018,BOS vs. PHX,L,23,12,4,11,36.4,4,8,50.0,0,0,-,0,1,1,2,1,1,2,2,-16
Chris Boucher,TOR,12/19/2018,TOR vs. IND,W,10,5,2,4,50.0,1,2,50.0,0,0,-,0,2,2,0,1,3,0,0,-7
DeMar DeRozan,SAS,12/19/2018,SAS @ ORL,W,30,17,7,12,58.3,0,0,-,3,4,75.0,0,7,7,6,1,0,1,1,18
Andrew Harrison,NOP,12/19/2018,NOP @ MIL,L,4,0,0,3,0.0,0,3,0.0,0,0,-,1,1,2,0,0,0,1,0,-4
Michael Carter-Williams,HOU,12/19/2018,HOU vs. WAS,W,4,5,2,4,50.0,1,3,33.3,0,0,-,0,0,0,1,0,0,0,1,-2
Jeff Green,WAS,12/19/2018,WAS @ HOU,L,26,12,5,9,55.6,0,2,0.0,2,3,66.7,1,2,3,2,0,0,0,2,-3
Mo Bamba,ORL,12/19/2018,ORL vs. SAS,L,26,7,2,7,28.6,0,3,0.0,3,6,50.0,3,5,8,2,2,2,1,3,-23
Collin Sexton,CLE,12/19/2018,CLE @ CHA,L,27,11,5,16,31.3,1,2,50.0,0,0,-,0,3,3,3,1,0,1,4,-5
Evan Fournier,ORL,12/19/2018,ORL vs. SAS,L,25,12,5,15,33.3,2,6,33.3,0,0,-,1,1,2,1,1,0,3,1,-15
Terrence Ross,ORL,12/19/2018,ORL vs. SAS,L,22,7,3,11,27.3,1,1,100.0,0,0,-,2,0,2,1,1,0,0,0,-20
D.J. Augustin,ORL,12/19/2018,ORL vs. SAS,L,24,17,6,10,60.0,3,5,60.0,2,2,100.0,0,1,1,2,0,0,0,0,-20
PJ Tucker,HOU,12/19/2018,HOU vs. WAS,W,34,11,4,5,80.0,3,4,75.0,0,0,-,1,10,11,4,2,0,2,2,14
Robert Covington,MIN,12/19/2018,MIN vs. DET,L,37,22,7,15,46.7,5,11,45.5,3,5,60.0,0,6,6,2,1,1,1,5,-20
Jaron Blossomgame,CLE,12/19/2018,CLE @ CHA,L,23,15,6,7,85.7,3,4,75.0,0,0,-,1,0,1,2,0,0,1,0,-8
Stanley Johnson,DET,12/19/2018,DET @ MIN,W,15,5,2,5,40.0,1,4,25.0,0,0,-,0,1,1,0,1,0,3,2,-3
Buddy Hield,SAC,12/19/2018,SAC vs. OKC,L,35,37,11,25,44.0,7,14,50.0,8,8,100.0,0,6,6,3,2,0,0,2,-11
Sam Dekker,WAS,12/19/2018,WAS @ HOU,L,15,15,7,8,87.5,1,2,50.0,0,0,-,0,2,2,0,1,0,1,3,-12
Chandler Hutchison,CHI,12/19/2018,CHI vs. BKN,L,6,2,1,3,33.3,0,1,0.0,0,0,-,2,1,3,0,0,0,0,0,-2
Patty Mills,SAS,12/19/2018,SAS @ ORL,W,17,5,2,6,33.3,1,1,100.0,0,0,-,0,2,2,0,0,0,0,2,20
Derrick White,SAS,12/19/2018,SAS @ ORL,W,34,9,4,6,66.7,1,2,50.0,0,0,-,0,1,1,6,0,1,3,1,29
Damian Lillard,POR,12/19/2018,POR vs. MEM,W,33,24,9,18,50.0,5,8,62.5,1,1,100.0,0,5,5,4,2,2,4,1,-11
Justin Jackson,SAC,12/19/2018,SAC vs. OKC,L,37,10,4,10,40.0,2,5,40.0,0,0,-,0,6,6,2,1,0,1,1,-9
Giannis Antetokounmpo,MIL,12/19/2018,MIL vs. NOP,W,34,25,8,13,61.5,0,0,-,9,13,69.2,1,7,8,8,2,1,6,4,9
Alex Abrines,OKC,12/19/2018,OKC @ SAC,W,23,9,3,7,42.9,3,7,42.9,0,0,-,0,1,1,1,0,0,0,4,6
Zaza Pachulia,DET,12/19/2018,DET @ MIN,W,5,0,0,0,-,0,0,-,0,2,0.0,0,1,1,0,0,0,0,1,6
Robin Lopez,CHI,12/19/2018,CHI vs. BKN,L,15,2,1,3,33.3,0,0,-,0,0,-,2,1,3,1,0,1,1,1,-2
Mike Conley,MEM,12/19/2018,MEM @ POR,L,37,23,7,19,36.8,5,10,50.0,4,5,80.0,1,3,4,6,0,1,3,0,6
Shaun Livingston,GSW,12/19/2018,GSW @ UTA,L,16,4,2,6,33.3,0,0,-,0,0,-,0,4,4,5,0,3,1,2,-3
Jerami Grant,OKC,12/19/2018,OKC @ SAC,W,37,22,9,11,81.8,2,2,100.0,2,6,33.3,1,1,2,1,0,1,1,3,7
E'Twaun Moore,NOP,12/19/2018,NOP @ MIL,L,24,7,3,8,37.5,1,3,33.3,0,0,-,0,2,2,4,0,0,1,2,-17
Isaiah Hartenstein,HOU,12/19/2018,HOU vs. WAS,W,6,2,1,1,100.0,0,0,-,0,0,-,1,1,2,1,0,0,0,4,-2
Markieff Morris,WAS,12/19/2018,WAS @ HOU,L,24,5,2,6,33.3,0,1,0.0,1,2,50.0,1,4,5,0,0,0,1,2,-9
Joe Harris,BKN,12/19/2018,BKN @ CHI,W,29,11,4,9,44.4,3,5,60.0,0,0,-,1,3,4,4,0,0,3,2,1
Trevor Ariza,WAS,12/19/2018,WAS @ HOU,L,36,15,7,15,46.7,1,8,12.5,0,0,-,0,6,6,3,3,0,0,1,-10
Meyers Leonard,POR,12/19/2018,POR vs. MEM,W,27,12,4,7,57.1,2,5,40.0,2,2,100.0,1,6,7,2,1,1,2,5,14
Noah Vonleh,NYK,12/19/2018,NYK @ PHI,L,36,6,3,7,42.9,0,1,0.0,0,0,-,2,8,10,5,0,2,1,3,-17
Jonathan Isaac,ORL,12/19/2018,ORL vs. SAS,L,25,10,4,8,50.0,2,4,50.0,0,0,-,2,3,5,1,0,0,0,1,-18
Nik Stauskas,POR,12/19/2018,POR vs. MEM,W,15,8,3,5,60.0,0,2,0.0,2,2,100.0,0,2,2,0,1,0,1,0,18
Michael Kidd-Gilchrist,CHA,12/19/2018,CHA vs. CLE,W,20,12,6,10,60.0,0,0,-,0,1,0.0,6,2,8,2,2,2,1,0,3
Dante Exum,UTA,12/19/2018,UTA vs. GSW,W,17,6,3,4,75.0,0,0,-,0,0,-,0,2,2,3,0,0,0,0,5
Andrew Wiggins,MIN,12/19/2018,MIN vs. DET,L,38,16,6,17,35.3,1,2,50.0,3,3,100.0,2,4,6,2,3,0,1,0,-4
Tyreke Evans,IND,12/18/2018,IND vs. CLE,L,14,4,2,9,22.2,0,1,0.0,0,0,-,1,1,2,1,0,0,0,2,-9
Jeremy Lin,ATL,12/18/2018,ATL vs. WAS,W,24,16,6,12,50.0,0,3,0.0,4,4,100.0,0,3,3,4,0,0,2,4,1
Lonzo Ball,LAL,12/18/2018,LAL @ BKN,L,39,23,9,16,56.3,5,9,55.6,0,2,0.0,2,4,6,3,2,0,3,6,-8
Alec Burks,CLE,12/18/2018,CLE @ IND,W,26,14,5,16,31.3,1,3,33.3,3,3,100.0,0,5,5,1,0,2,0,0,8
Luka Doncic,DAL,12/18/2018,DAL @ DEN,L,35,23,5,15,33.3,3,9,33.3,10,12,83.3,0,6,6,12,1,0,1,1,7
Moritz Wagner,LAL,12/18/2018,LAL @ BKN,L,8,4,1,2,50.0,1,2,50.0,1,2,50.0,0,1,1,0,0,0,0,2,-9
Victor Oladipo,IND,12/18/2018,IND vs. CLE,L,34,12,4,15,26.7,1,6,16.7,3,6,50.0,0,5,5,5,1,2,3,2,8
DeAndre Jordan,DAL,12/18/2018,DAL @ DEN,L,27,11,4,6,66.7,0,0,-,3,6,50.0,2,10,12,1,2,0,2,6,18
Ian Mahinmi,WAS,12/18/2018,WAS @ ATL,L,16,2,0,2,0.0,0,0,-,2,4,50.0,1,3,4,1,0,0,1,5,-8
Lance Stephenson,LAL,12/18/2018,LAL @ BKN,L,12,8,3,7,42.9,2,4,50.0,0,0,-,0,3,3,0,0,0,1,2,-10
Jared Dudley,BKN,12/18/2018,BKN vs. LAL,W,24,13,6,8,75.0,1,3,33.3,0,0,-,2,3,5,2,1,0,1,1,3
Collin Sexton,CLE,12/18/2018,CLE @ IND,W,32,12,6,13,46.2,0,1,0.0,0,0,-,1,0,1,0,0,0,2,1,-17
Monte Morris,DEN,12/18/2018,DEN vs. DAL,W,25,16,7,10,70.0,2,3,66.7,0,0,-,0,4,4,5,2,0,1,2,11
Tyson Chandler,LAL,12/18/2018,LAL @ BKN,L,17,5,2,2,100.0,0,0,-,1,2,50.0,2,2,4,3,0,2,0,2,-3
Wesley Matthews,DAL,12/18/2018,DAL @ DEN,L,32,14,4,12,33.3,4,5,80.0,2,2,100.0,1,1,2,4,2,0,2,2,-14
Jarrett Allen,BKN,12/18/2018,BKN vs. LAL,W,20,6,3,7,42.9,0,1,0.0,0,1,0.0,0,8,8,1,2,2,2,3,-2
Cory Joseph,IND,12/18/2018,IND vs. CLE,L,21,2,1,6,16.7,0,3,0.0,0,0,-,0,9,9,2,0,1,1,0,-13
Rondae Hollis-Jefferson,BKN,12/18/2018,BKN vs. LAL,W,38,17,5,12,41.7,0,2,0.0,7,9,77.8,0,8,8,3,1,0,1,3,-6
Josh Hart,LAL,12/18/2018,LAL @ BKN,L,34,6,2,10,20.0,1,5,20.0,1,2,50.0,2,3,5,1,1,0,0,0,-5
Dirk Nowitzki,DAL,12/18/2018,DAL @ DEN,L,7,3,1,2,50.0,1,1,100.0,0,0,-,0,1,1,1,0,0,0,0,-9
Daniel Hamilton,ATL,12/18/2018,ATL vs. WAS,W,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,-2
Channing Frye,CLE,12/18/2018,CLE @ IND,W,6,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,0,0,0,0,3,-6
Kent Bazemore,ATL,12/18/2018,ATL vs. WAS,W,31,13,4,10,40.0,2,6,33.3,3,4,75.0,1,3,4,4,0,2,1,4,14
Chasson Randle,WAS,12/18/2018,WAS @ ATL,L,16,7,1,3,33.3,1,3,33.3,4,4,100.0,0,1,1,3,2,0,1,2,3
Vince Carter,ATL,12/18/2018,ATL vs. WAS,W,21,6,2,5,40.0,2,4,50.0,0,0,-,2,4,6,0,2,0,3,4,-6
Matthew Dellavedova,CLE,12/18/2018,CLE @ IND,W,16,10,4,6,66.7,2,4,50.0,0,0,-,0,1,1,4,0,0,3,1,18
Torrey Craig,DEN,12/18/2018,DEN vs. DAL,W,20,5,2,5,40.0,1,3,33.3,0,0,-,0,1,1,1,0,0,2,5,-5
Domantas Sabonis,IND,12/18/2018,IND vs. CLE,L,24,17,7,9,77.8,0,0,-,3,3,100.0,7,1,8,3,2,0,1,2,-8
Ryan Broekhoff,DAL,12/18/2018,DAL @ DEN,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Kevin Huerter,ATL,12/18/2018,ATL vs. WAS,W,35,13,4,12,33.3,3,8,37.5,2,2,100.0,0,4,4,2,1,0,2,2,9
Dwight Powell,DAL,12/18/2018,DAL @ DEN,L,17,8,3,5,60.0,1,2,50.0,1,2,50.0,0,2,2,1,0,0,1,2,-27
Bojan Bogdanovic,IND,12/18/2018,IND vs. CLE,L,34,14,5,14,35.7,0,4,0.0,4,4,100.0,2,1,3,1,0,0,0,0,9
Trae Young,ATL,12/18/2018,ATL vs. WAS,W,26,19,5,11,45.5,3,6,50.0,6,8,75.0,0,3,3,4,1,0,5,2,2
Bradley Beal,WAS,12/18/2018,WAS @ ATL,L,40,29,11,17,64.7,2,4,50.0,5,7,71.4,3,7,10,3,2,0,4,3,0
Nick Young,DEN,12/18/2018,DEN vs. DAL,W,9,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,2,-2
Jaron Blossomgame,CLE,12/18/2018,CLE @ IND,W,23,7,3,6,50.0,0,3,0.0,1,2,50.0,2,6,8,1,1,1,0,2,12
Markieff Morris,WAS,12/18/2018,WAS @ ATL,L,17,7,1,5,20.0,0,2,0.0,5,8,62.5,2,0,2,4,1,0,0,6,-4
Jalen Brunson,DAL,12/18/2018,DAL @ DEN,L,25,8,4,7,57.1,0,1,0.0,0,0,-,0,0,0,1,0,0,0,1,3
Trevor Ariza,WAS,12/18/2018,WAS @ ATL,L,38,19,6,17,35.3,4,11,36.4,3,3,100.0,1,7,8,4,6,0,1,2,-3
Harrison Barnes,DAL,12/18/2018,DAL @ DEN,L,34,30,10,16,62.5,5,8,62.5,5,6,83.3,1,3,4,0,1,1,0,1,9
Spencer Dinwiddie,BKN,12/18/2018,BKN vs. LAL,W,34,18,6,11,54.5,2,5,40.0,4,7,57.1,0,1,1,6,0,0,3,0,-6
D'Angelo Russell,BKN,12/18/2018,BKN vs. LAL,W,34,22,9,21,42.9,4,9,44.4,0,0,-,0,4,4,13,0,1,4,1,7
DeAndre' Bembry,ATL,12/18/2018,ATL vs. WAS,W,20,3,1,4,25.0,0,1,0.0,1,2,50.0,0,1,1,2,0,0,1,3,0
Nikola Jokic,DEN,12/18/2018,DEN vs. DAL,W,35,32,13,25,52.0,2,6,33.3,4,4,100.0,6,10,16,4,3,1,5,4,15
Jeff Green,WAS,12/18/2018,WAS @ ATL,L,38,12,4,11,36.4,2,8,25.0,2,2,100.0,0,7,7,2,1,0,2,2,1
Cedi Osman,CLE,12/18/2018,CLE @ IND,W,40,13,6,14,42.9,1,6,16.7,0,0,-,1,6,7,1,0,0,1,1,-7
Svi Mykhailiuk,LAL,12/18/2018,LAL @ BKN,L,6,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,1,3
Alex Len,ATL,12/18/2018,ATL vs. WAS,W,21,15,3,4,75.0,0,0,-,9,10,90.0,2,3,5,1,0,2,2,3,-7
Sam Dekker,WAS,12/18/2018,WAS @ ATL,L,13,4,2,4,50.0,0,0,-,0,0,-,1,0,1,0,1,0,1,0,-7
Ivica Zubac,LAL,12/18/2018,LAL @ BKN,L,2,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,1,0,2,3
J.J. Barea,DAL,12/18/2018,DAL @ DEN,L,21,10,4,11,36.4,0,3,0.0,2,2,100.0,1,3,4,5,0,0,1,0,-14
Thomas Bryant,WAS,12/18/2018,WAS @ ATL,L,14,4,1,2,50.0,0,0,-,2,4,50.0,0,2,2,1,0,1,0,2,-7
Joe Harris,BKN,12/18/2018,BKN vs. LAL,W,38,19,7,13,53.8,3,4,75.0,2,2,100.0,1,3,4,2,1,0,0,3,6
John Collins,ATL,12/18/2018,ATL vs. WAS,W,25,20,7,14,50.0,1,2,50.0,5,6,83.3,6,7,13,3,0,0,3,4,7
Ed Davis,BKN,12/18/2018,BKN vs. LAL,W,12,4,2,2,100.0,0,0,-,0,0,-,1,5,6,0,0,0,0,2,12
Dorian Finney-Smith,DAL,12/18/2018,DAL @ DEN,L,27,2,1,5,20.0,0,4,0.0,0,0,-,1,1,2,1,1,0,1,2,-1
Kentavious Caldwell-Pope,LAL,12/18/2018,LAL @ BKN,L,38,6,3,7,42.9,0,4,0.0,0,0,-,1,4,5,2,1,0,1,3,1
Justin Anderson,ATL,12/18/2018,ATL vs. WAS,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,2,7
Rodney Hood,CLE,12/18/2018,CLE @ IND,W,35,17,5,12,41.7,1,5,20.0,6,8,75.0,2,4,6,2,2,0,0,4,-12
Mason Plumlee,DEN,12/18/2018,DEN vs. DAL,W,34,11,5,8,62.5,0,0,-,1,2,50.0,1,8,9,3,0,0,1,4,-1
Rodions Kurucs,BKN,12/18/2018,BKN vs. LAL,W,17,3,1,5,20.0,1,3,33.3,0,0,-,0,1,1,0,0,1,0,4,0
Malik Beasley,DEN,12/18/2018,DEN vs. DAL,W,26,12,5,8,62.5,2,4,50.0,0,0,-,1,0,1,4,1,0,1,5,12
Tomas Satoransky,WAS,12/18/2018,WAS @ ATL,L,21,11,4,4,100.0,1,1,100.0,2,4,50.0,1,1,2,2,1,0,2,5,-3
John Wall,WAS,12/18/2018,WAS @ ATL,L,26,15,6,18,33.3,3,11,27.3,0,0,-,0,0,0,6,0,0,3,5,-12
Larry Nance Jr.,CLE,12/18/2018,CLE @ IND,W,33,15,7,14,50.0,1,3,33.3,0,0,-,5,11,16,6,3,1,2,3,1
DeMarre Carroll,BKN,12/18/2018,BKN vs. LAL,W,24,13,5,12,41.7,3,7,42.9,0,0,-,0,3,3,0,0,0,0,1,11
Thaddeus Young,IND,12/18/2018,IND vs. CLE,L,32,13,6,13,46.2,0,0,-,1,4,25.0,4,5,9,3,2,1,1,0,10
Devin Harris,DAL,12/18/2018,DAL @ DEN,L,15,9,4,7,57.1,1,4,25.0,0,0,-,0,0,0,0,1,0,0,2,-14
Myles Turner,IND,12/18/2018,IND vs. CLE,L,31,12,6,12,50.0,0,2,0.0,0,1,0.0,0,10,10,2,0,4,1,2,-2
David Nwaba,CLE,12/18/2018,CLE @ IND,W,14,0,0,4,0.0,0,4,0.0,0,0,-,0,3,3,2,1,0,0,1,-8
Darren Collison,IND,12/18/2018,IND vs. CLE,L,29,5,2,6,33.3,1,2,50.0,0,0,-,0,6,6,4,1,1,1,3,10
Ante Zizic,CLE,12/18/2018,CLE @ IND,W,14,2,1,3,33.3,0,0,-,0,0,-,1,3,4,2,0,1,1,0,16
LeBron James,LAL,12/18/2018,LAL @ BKN,L,41,36,13,23,56.5,2,7,28.6,8,13,61.5,1,12,13,8,1,1,5,1,4
Doug McDermott,IND,12/18/2018,IND vs. CLE,L,21,12,4,9,44.4,2,4,50.0,2,3,66.7,0,0,0,0,1,0,1,1,-10
Kyle Kuzma,LAL,12/18/2018,LAL @ BKN,L,43,22,9,21,42.9,2,8,25.0,2,2,100.0,0,11,11,3,1,0,3,0,-1
Trey Lyles,DEN,12/18/2018,DEN vs. DAL,W,21,16,5,7,71.4,3,4,75.0,3,4,75.0,0,3,3,0,0,0,0,2,7
Dewayne Dedmon,ATL,12/18/2018,ATL vs. WAS,W,27,13,5,6,83.3,1,1,100.0,2,3,66.7,2,8,10,2,0,1,4,1,15
Juancho Hernangomez,DEN,12/18/2018,DEN vs. DAL,W,30,12,3,8,37.5,1,4,25.0,5,6,83.3,3,3,6,0,0,1,0,2,9
Jamal Murray,DEN,12/18/2018,DEN vs. DAL,W,39,22,10,18,55.6,1,4,25.0,1,2,50.0,1,6,7,15,1,1,5,2,-6
Kevin Knox II,NYK,12/17/2018,NYK vs. PHX,L,37,17,6,16,37.5,2,7,28.6,3,4,75.0,3,2,5,0,0,0,1,5,-2
Montrezl Harrell,LAC,12/17/2018,LAC vs. POR,L,27,15,4,8,50.0,0,0,-,7,8,87.5,3,3,6,4,1,0,0,1,16
Karl-Anthony Towns,MIN,12/17/2018,MIN vs. SAC,W,21,14,5,11,45.5,2,3,66.7,2,2,100.0,2,12,14,3,0,3,1,0,0
Courtney Lee,NYK,12/17/2018,NYK vs. PHX,L,22,12,5,8,62.5,1,3,33.3,1,1,100.0,0,4,4,0,0,0,1,2,-16
Marco Belinelli,SAS,12/17/2018,SAS vs. PHI,W,19,6,2,6,33.3,2,6,33.3,0,0,-,0,1,1,1,0,0,0,1,12
Trey Burke,NYK,12/17/2018,NYK vs. PHX,L,24,4,2,9,22.2,0,1,0.0,0,0,-,0,2,2,2,2,0,0,0,-2
Reggie Bullock,DET,12/17/2018,DET vs. MIL,L,34,24,9,14,64.3,5,7,71.4,1,1,100.0,1,2,3,1,0,0,1,4,-8
George Hill,MIL,12/17/2018,MIL @ DET,W,14,1,0,6,0.0,0,2,0.0,1,2,50.0,0,2,2,1,0,0,1,0,-11
