Team1,T1_OR5,T1_DR5,Team2,T2_OR5,T2_DR5,Spread,TScore
BKN,111.26,109.44,SAC,107.28,105.48,29,217
BKN,105.96,108.32,ORL,106.16,109.96,2,232
BKN,104.9,104.46,HOU,117.94,110.02,3,287
BKN,104.46,103.44,BOS,112.6,102.84,7,211
BKN,111,106.2,TOR,113.68,111.86,-17,227
BKN,111.64,112.72,ATL,102.74,108.74,16,216
BKN,111.48,111.68,BOS,116.04,111.92,-21,211
BKN,109.62,112.8,CHI,100.38,111.5,17,217
BKN,110.24,113.8,MEM,106.1,107.72,9,209
BKN,106.64,112.36,NOP,115.84,115.64,5,247
BKN,105.16,107.32,MIL,108.04,99.78,-14,244
BKN,109.12,107.24,CHA,106.86,110.56,-13,187
BKN,114.84,110.2,CHA,107.22,111.16,2,266
BKN,118.16,113.48,PHX,112.22,104.62,8,214
BKN,120.5,113.82,IND,106.4,100.02,-8,220
BKN,122.26,114.62,CHI,92.36,113.16,3,189
BKN,119.8,113.48,LAL,111.38,107.42,5,225
BKN,113.52,110.7,ATL,103,111.96,17,271
BKN,108.86,107.68,WAS,110.44,113.04,7,243
BKN,102.8,104.88,PHI,109.62,101.7,3,251
BKN,101.58,106.86,NYK,103.9,115.02,8,216
BKN,100.16,106.86,TOR,114.26,109,1,211
BKN,103.2,109.64,OKC,105.92,94.74,-2,226
BKN,102.94,111.44,CLE,102.58,114.5,-2,196
BKN,107.62,113.96,WAS,106.9,115.62,-14,190
BKN,107.04,109.4,MEM,107.52,108.76,-6,256
BKN,113.06,115.7,UTA,99.28,111.34,-10,192
BKN,110.4,110.96,PHI,112.24,111.72,-2,252
BKN,109.62,110.12,MIN,103.8,101.84,-10,214
BKN,108.54,109.42,DAL,107.48,95.2,-6,232
BKN,109.44,116.14,MIA,104.3,110.34,12,196
BKN,108.02,112,LAC,112.56,110.6,-8,246
BKN,107.12,108.16,WAS,111.12,109.48,11,219
BKN,110.76,104.98,MIA,104.82,107.7,-13,227
